platform,komentar,timestamp,sentimen,cleaned_comment
YouTube,hahahahaha,2026-04-16T12:19:24Z,Netral,hahahahaha
YouTube,13:06 3D printer mungkin🗿,2026-04-16T10:39:06Z,Netral,d printer mungkin
YouTube,Android 10..waduh...jadi rasa berkurang rasa ke pengen nya...😂😂😂,2026-04-16T10:22:24Z,Netral,android waduhjadi rasa kurang rasa ken nya
YouTube,"Makasih atas reviewnya, jadi nambah wawasan saya. 

Sukses selalu chanel youtubenya.",2026-04-16T08:34:38Z,Netral,makasih atas reviewnya jadi nambah wawas sukses selalu chanel youtubenya
YouTube,HP gk ada hrga dirinya sama sekali 😂😂😂 gua suka statemen ini,2026-04-15T01:08:27Z,Netral,hp gk hrga diri sama sekali gua suka statemen
YouTube,Hp kek gitu gausah dihargai bang pantesnya dirusakin aja,2026-04-14T04:11:18Z,Netral,hp kek gitu gausah harga bang pantesnya dirusakin aja
YouTube,"Mendingan beli itel city 100,tinggal nambahin 300rb dapet yg bagus Dan bukan KW😂😂😂",2026-04-13T13:12:12Z,Positif,mending beli itel city tinggal nambahin rb dapet yg bagus bukan kw
YouTube,"kesimpulan ""jangan beli, cukup saya yang beli""",2026-04-13T12:42:20Z,Netral,simpul jangan beli cukup yang beli
YouTube,"Semurah murah nya hp palsu china masih bisa bikin, kalau Indonesia kan cuma merakit doang.",2026-04-12T10:27:50Z,Positif,murah murah nya hp palsu china bisa bikin kalau indonesia kan cuma rakit doang
YouTube,Langsung follow karena seru,2026-04-09T15:18:11Z,Netral,langsung follow seru
YouTube,Mudah banget copot ye😂,2026-04-09T02:40:53Z,Netral,mudah banget copot ye
YouTube,"Saya nonton sambil senyum-senyum Lo bang, apalagi apa unboxing batrai",2026-04-09T00:20:17Z,Netral,nonton senyumsenyum lo bang apa unboxing batrai
YouTube,Kalo gua yang make udah gua banting hp nya😂,2026-04-08T23:32:50Z,Netral,kalo gua make udah gua banting hp nya
